Order_ID,Order_Date,Ship_Date,Customer_ID,Product_ID,Sales,Quantity,Discount,Profit,Shipping_Cost,Ship_Mode,Order_Priority,Year,Order_Month,Order_Quarter,Order_Day,Shipping_Days,Profit_Margin
CA-2011-130813,2011-01-07,2011-01-09,LS-172304,OFF-PA-10002005,19,3,0.0,9.3312,4.37,Second Class,High,2011,January,1,Friday,2,49.11
CA-2011-148614,2011-01-21,2011-01-26,MV-174854,OFF-PA-10002893,19,2,0.0,9.2928,0.94,Standard Class,Medium,2011,January,1,Friday,5,48.91
CA-2011-118962,2011-08-05,2011-08-09,CS-121304,OFF-PA-10000659,21,3,0.0,9.8418,1.81,Standard Class,Medium,2011,August,3,Friday,4,46.87
CA-2011-118962,2011-08-05,2011-08-09,CS-121304,OFF-PA-10001144,111,2,0.0,53.2608,4.59,Standard Class,Medium,2011,August,3,Friday,4,47.98
CA-2011-146969,2011-09-29,2011-10-03,AP-109154,OFF-PA-10002105,6,1,0.0,3.1104,1.32,Standard Class,High,2011,September,3,Thursday,4,51.84
CA-2011-117317,2011-10-19,2011-10-19,JF-154904,OFF-PA-10004519,13,3,0.0,6.5856,2.39,Same Day,Critical,2011,October,4,Wednesday,0,50.66
CA-2011-125829,2011-11-04,2011-11-11,WB-218504,OFF-PA-10000223,19,3,0.0,9.3312,1.15,Standard Class,Medium,2011,November,4,Friday,7,49.11
CA-2011-151295,2011-11-12,2011-11-16,JA-159704,OFF-PA-10001947,12,2,0.0,5.8604,0.92,Standard Class,High,2011,November,4,Saturday,4,48.84
CA-2011-135090,2011-11-22,2011-11-26,SP-209204,OFF-PA-10002245,54,9,0.0,24.219,6.98,Standard Class,High,2011,November,4,Tuesday,4,44.85
CA-2011-133830,2011-12-05,2011-12-10,RL-196154,OFF-PA-10001363,49,4,0.0,23.0864,1.99,Standard Class,Medium,2011,December,4,Monday,5,47.12
CA-2011-113579,2011-12-13,2011-12-15,KD-163454,OFF-PA-10001457,90,6,0.0,41.5104,8.53,Second Class,High,2011,December,4,Tuesday,2,46.12
CA-2012-116092,2012-02-15,2012-02-18,JM-161954,OFF-PA-10004285,13,2,0.0,6.4128,1.0,Second Class,Medium,2012,February,1,Wednesday,3,49.33
CA-2012-116092,2012-02-15,2012-02-18,JM-161954,OFF-PA-10000477,19,3,0.0,9.3312,0.06,Second Class,Medium,2012,February,1,Wednesday,3,49.11
CA-2012-121776,2012-02-16,2012-02-21,RD-195854,OFF-PA-10001970,37,3,0.0,17.3148,4.04,Standard Class,High,2012,February,1,Thursday,5,46.8
CA-2012-131534,2012-03-28,2012-04-02,AB-101654,OFF-PA-10000743,33,5,0.0,16.032,2.25,Standard Class,Medium,2012,March,1,Wednesday,5,48.58
US-2012-136987,2012-04-11,2012-04-14,AR-105404,OFF-PA-10003127,53,2,0.0,24.2696,1.59,Second Class,Medium,2012,April,2,Wednesday,3,45.79
CA-2012-121965,2012-06-19,2012-06-23,LH-171554,OFF-PA-10004355,6,1,0.0,3.1104,0.52,Standard Class,Medium,2012,June,2,Tuesday,4,51.84
CA-2012-112319,2012-08-31,2012-09-05,AR-105104,OFF-PA-10003441,58,9,0.0,27.9936,7.98,Standard Class,High,2012,August,3,Friday,5,48.26
CA-2012-137708,2012-11-22,2012-11-25,NG-184304,OFF-PA-10000176,38,2,0.0,18.2112,3.9,Second Class,High,2012,November,4,Thursday,3,47.92
CA-2012-137708,2012-11-22,2012-11-25,NG-184304,OFF-PA-10000327,43,10,0.0,19.26,6.15,Second Class,High,2012,November,4,Thursday,3,44.79
CA-2012-105347,2012-11-24,2012-11-28,DP-130004,OFF-PA-10000675,369,9,0.0,180.7659,6.98,Standard Class,Medium,2012,November,4,Saturday,4,48.99
CA-2012-153416,2012-11-24,2012-11-29,TS-213404,OFF-PA-10002005,19,3,0.0,9.3312,1.68,Standard Class,Medium,2012,November,4,Saturday,5,49.11
CA-2012-135545,2012-11-24,2012-11-30,KM-167204,OFF-PA-10003892,147,3,0.0,68.9631,4.93,Standard Class,Medium,2012,November,4,Saturday,6,46.91
CA-2012-158918,2012-12-20,2012-12-25,AI-108554,OFF-PA-10004947,17,4,0.0,7.704,1.31,Second Class,Medium,2012,December,4,Thursday,5,45.32
CA-2012-135580,2012-12-30,2013-01-03,CL-125654,OFF-PA-10000595,69,3,0.0,31.5192,6.36,Standard Class,Medium,2012,December,4,Sunday,4,45.68
US-2013-119270,2013-03-13,2013-03-17,SW-202454,OFF-PA-10004022,20,2,0.0,8.991,1.3,Standard Class,Medium,2013,March,1,Wednesday,4,44.96
CA-2013-131380,2013-03-29,2013-04-01,CC-122204,OFF-PA-10001243,6,1,0.0,2.9302,1.82,Second Class,Critical,2013,March,1,Friday,3,48.84
CA-2013-130477,2013-04-09,2013-04-13,LC-171404,OFF-PA-10002947,20,3,0.0,9.6192,2.92,Standard Class,High,2013,April,2,Tuesday,4,48.1
CA-2013-130477,2013-04-09,2013-04-13,LC-171404,OFF-PA-10000019,13,2,0.0,6.2208,2.28,Standard Class,High,2013,April,2,Tuesday,4,47.85
CA-2013-163594,2013-04-13,2013-04-15,JF-152954,OFF-PA-10000809,19,3,0.0,9.3312,1.77,First Class,Medium,2013,April,2,Saturday,2,49.11
US-2013-115819,2013-04-20,2013-04-25,JO-152804,OFF-PA-10002377,23,4,0.0,10.224,3.87,Second Class,Medium,2013,April,2,Saturday,5,44.45
